file_path,lib_id,missing_metadata
/projects/caeg/data/production/LV3/003/047/LV3003047032,LV3003047032,False
/projects/caeg/data/production/LV3/003/047/LV3003047033,LV3003047033,False
/projects/caeg/data/production/LV3/003/047/LV3003047035,LV3003047035,False
/projects/caeg/data/production/LV3/003/047/LV3003047036,LV3003047036,False
/projects/caeg/data/production/LV3/003/047/LV3003047037,LV3003047037,False
/projects/caeg/data/production/LV3/003/047/LV3003047039,LV3003047039,False
/projects/caeg/data/production/LV3/003/047/LV3003047040,LV3003047040,False
/projects/caeg/data/production/LV3/003/047/LV3003047041,LV3003047041,False
/projects/caeg/data/production/LV3/003/047/LV3003047044,LV3003047044,False
/projects/caeg/data/production/LV3/003/047/LV3003047045,LV3003047045,False
/projects/caeg/data/production/LV3/003/047/LV3003047046,LV3003047046,False
/projects/caeg/data/production/LV3/003/047/LV3003047048,LV3003047048,False
/projects/caeg/data/production/LV3/003/047/LV3003047049,LV3003047049,False
/projects/caeg/data/production/LV3/003/047/LV3003047052,LV3003047052,False
/projects/caeg/data/production/LV3/003/047/LV3003047053,LV3003047053,False
/projects/caeg/data/production/LV3/003/047/LV3003047054,LV3003047054,False
/projects/caeg/data/production/LV3/003/047/LV3003047055,LV3003047055,False
/projects/caeg/data/production/LV3/003/047/LV3003047056,LV3003047056,False
/projects/caeg/data/production/LV3/003/047/LV3003047059,LV3003047059,False
/projects/caeg/data/production/LV3/003/047/LV3003047060,LV3003047060,False
/projects/caeg/data/production/LV3/003/047/LV3003047061,LV3003047061,False
/projects/caeg/data/production/LV3/003/047/LV3003047062,LV3003047062,False
/projects/caeg/data/production/LV3/003/047/LV3003047063,LV3003047063,False
/projects/caeg/data/production/LV3/003/047/LV3003047064,LV3003047064,False
/projects/caeg/data/production/LV3/003/047/LV3003047065,LV3003047065,False
/projects/caeg/data/production/LV3/003/047/LV3003047067,LV3003047067,False
/projects/caeg/data/production/LV3/003/047/LV3003047068,LV3003047068,False
/projects/caeg/data/production/LV3/003/047/LV3003047069,LV3003047069,False
/projects/caeg/data/production/LV3/003/047/LV3003047070,LV3003047070,False
/projects/caeg/data/production/LV3/003/047/LV3003047071,LV3003047071,False
/projects/caeg/data/production/LV3/003/047/LV3003047073,LV3003047073,False
/projects/caeg/data/production/LV3/003/047/LV3003047074,LV3003047074,False
/projects/caeg/data/production/LV3/003/047/LV3003047077,LV3003047077,False
/projects/caeg/data/production/LV3/003/047/LV3003047078,LV3003047078,False
/projects/caeg/data/production/LV3/003/047/LV3003047079,LV3003047079,False
/projects/caeg/data/production/LV3/003/047/LV3003047080,LV3003047080,False
/projects/caeg/data/production/LV3/003/047/LV3003047081,LV3003047081,False
/projects/caeg/data/production/LV3/003/047/LV3003047082,LV3003047082,False
/projects/caeg/data/production/LV3/003/047/LV3003047083,LV3003047083,False
/projects/caeg/data/production/LV3/003/047/LV3003047084,LV3003047084,False
/projects/caeg/data/production/LV3/003/047/LV3003047085,LV3003047085,False
/projects/caeg/data/production/LV3/003/047/LV3003047087,LV3003047087,False
/projects/caeg/data/production/LV3/003/047/LV3003047088,LV3003047088,False
/projects/caeg/data/production/LV3/003/047/LV3003047089,LV3003047089,False
/projects/caeg/data/production/LV3/003/047/LV3003047090,LV3003047090,False
/projects/caeg/data/production/LV3/003/047/LV3003047091,LV3003047091,False
/projects/caeg/data/production/LV3/003/047/LV3003047093,LV3003047093,False
/projects/caeg/data/production/LV3/003/047/LV3003047094,LV3003047094,False
/projects/caeg/data/production/LV3/003/047/LV3003047095,LV3003047095,False
/projects/caeg/data/production/LV3/003/047/LV3003047096,LV3003047096,False
/projects/caeg/data/production/LV3/003/047/LV3003047097,LV3003047097,False
/projects/caeg/data/production/LV3/003/047/LV3003047098,LV3003047098,False
/projects/caeg/data/production/LV3/003/047/LV3003047099,LV3003047099,False
/projects/caeg/data/production/LV3/003/047/LV3003047100,LV3003047100,False
/projects/caeg/data/production/LV3/003/047/LV3003047101,LV3003047101,False
/projects/caeg/data/production/LV3/003/047/LV3003047104,LV3003047104,False
/projects/caeg/data/production/LV3/003/047/LV3003047105,LV3003047105,False
/projects/caeg/data/production/LV3/003/047/LV3003047106,LV3003047106,False
/projects/caeg/data/production/LV3/003/047/LV3003047107,LV3003047107,False
/projects/caeg/data/production/LV3/003/047/LV3003047110,LV3003047110,False
/projects/caeg/data/production/LV3/003/047/LV3003047112,LV3003047112,False
/projects/caeg/data/production/LV3/003/047/LV3003047113,LV3003047113,False
/projects/caeg/data/production/LV3/003/047/LV3003047114,LV3003047114,False
/projects/caeg/data/production/LV3/003/047/LV3003047117,LV3003047117,False
/projects/caeg/data/production/LV3/003/047/LV3003047118,LV3003047118,False
/projects/caeg/data/production/LV3/003/047/LV3003047121,LV3003047121,False
/projects/caeg/data/production/LV3/003/047/LV3003047122,LV3003047122,False
/projects/caeg/data/production/LV3/003/047/LV3003047123,LV3003047123,False
/projects/caeg/data/production/LV3/003/047/LV3003047124,LV3003047124,False
/projects/caeg/data/production/LV3/003/047/LV3003047125,LV3003047125,False
/projects/caeg/data/production/LV3/003/047/LV3003047126,LV3003047126,False
/projects/caeg/data/production/LV3/003/047/LV3003047127,LV3003047127,False
/projects/caeg/data/production/LV3/003/047/LV3003047128,LV3003047128,False
/projects/caeg/data/production/LV3/003/047/LV3003047129,LV3003047129,False
